vehicle_id,now_avg_kmpl,now_avg_kmpl_inv,now_total_fuel_cost_inr,now_avg_co2_kg,future_avg_kmpl,future_avg_kmpl_inv,future_total_fuel_cost_inr,future_avg_co2_kg
VEH-04306,17.72,0.0564,209790.93,2.72,16.38,0.0611,244590.59,2.97
VEH-04307,14.37,0.0696,548252.17,3.36,13.31,0.0751,599410.22,3.82
VEH-04308,12.61,0.0793,854569.54,4.32,11.31,0.0884,1060050.44,4.8
VEH-04309,19.86,0.0504,80729.53,1.99,18.54,0.0539,93479.79,2.2
VEH-04310,18.56,0.0539,88244.57,1.89,16.69,0.0599,109592.52,2.07
VEH-04311,16.27,0.0615,276170.57,2.74,15.06,0.0664,340687.77,3.17
VEH-04312,12.27,0.0815,770738.17,4.3,11.04,0.0906,887938.52,4.93
VEH-04313,17.3,0.0578,356247.11,3.16,15.65,0.0639,387232.4,3.6
VEH-04314,15.4,0.0649,293202.99,3.15,13.57,0.0737,323544.81,3.76
VEH-04315,15.44,0.0648,397677.33,3.52,14.02,0.0713,459509.51,3.87
VEH-04316,16.12,0.062,189904.14,2.72,14.66,0.0682,215102.58,3.16
VEH-04317,12.95,0.0772,554447.62,3.55,11.32,0.0883,632417.81,3.98
VEH-04318,13.69,0.073,602103.91,3.78,12.82,0.078,742830.88,4.38
VEH-04319,14.01,0.0714,471268.57,3.1,12.68,0.0789,545896.47,3.31
VEH-04320,16.11,0.0621,325156.85,2.88,14.77,0.0677,357483.2,3.27
VEH-04321,17.16,0.0583,112644.23,2.04,16.53,0.0605,133257.29,2.19
VEH-04322,16.76,0.0597,303278.16,3.09,15.14,0.0661,368490.15,3.54
VEH-04323,15.67,0.0638,192536.57,2.55,13.71,0.0729,229821.59,2.92
VEH-04324,16.18,0.0618,349870.37,3.12,14.21,0.0704,382849.22,3.68
VEH-04325,13.07,0.0765,607049.0,3.44,11.87,0.0842,675185.58,3.73
VEH-04326,17.67,0.0566,250645.18,2.61,16.81,0.0595,293161.12,2.96
VEH-04327,18.11,0.0552,248231.27,2.63,16.71,0.0598,305789.32,2.79
VEH-04328,18.26,0.0548,181863.27,2.12,16.96,0.059,214075.63,2.33
VEH-04329,19.04,0.0525,90762.5,2.05,18.38,0.0544,106582.24,2.37
VEH-04330,14.18,0.0705,463336.3,2.84,13.2,0.0758,555298.47,3.04
VEH-04331,14.98,0.0668,351086.53,2.95,13.87,0.0721,382972.3,3.54
VEH-04332,17.76,0.0563,126096.37,2.55,16.62,0.0602,144816.61,2.68
VEH-04333,13.42,0.0745,606412.59,3.39,11.7,0.0855,674123.64,3.63
VEH-04334,17.85,0.056,160003.71,2.28,16.07,0.0622,183246.46,2.64
VEH-04335,14.06,0.0711,579837.05,3.67,13.27,0.0754,633747.41,3.91
VEH-04336,11.87,0.0842,813482.44,3.92,10.9,0.0917,936018.58,4.25
VEH-04337,19.02,0.0526,39769.89,2.01,18.14,0.0551,46519.97,2.39
VEH-04338,17.58,0.0569,100886.92,2.22,15.61,0.0641,120554.42,2.35
VEH-04339,12.15,0.0823,939942.56,4.53,11.07,0.0903,1079719.69,4.79
VEH-04340,16.01,0.0625,375226.14,3.01,14.91,0.0671,466979.91,3.52
VEH-04341,17.26,0.0579,338826.77,3.23,15.65,0.0639,395894.66,3.5
VEH-04342,16.5,0.0606,94518.06,2.31,15.5,0.0645,106165.01,2.7
VEH-04343,17.98,0.0556,173878.95,2.79,17.23,0.058,191983.14,3.19
VEH-04344,20.0,0.05,58402.33,2.1,18.03,0.0555,67409.84,2.49
VEH-04345,20.0,0.05,124805.65,2.32,18.33,0.0546,141031.92,2.53
VEH-04346,16.62,0.0602,319912.08,3.0,14.63,0.0684,384044.74,3.48
VEH-04347,17.67,0.0566,187494.64,2.53,16.4,0.061,225155.03,2.68
VEH-04348,15.21,0.0657,284945.85,2.84,13.39,0.0747,317741.51,3.14
VEH-04349,19.37,0.0516,165273.7,2.46,18.13,0.0552,198079.27,2.62
VEH-04350,17.32,0.0577,306974.45,2.63,16.68,0.06,352137.97,3.05
VEH-04351,16.23,0.0616,410046.03,2.88,14.99,0.0667,447281.86,3.28
VEH-04352,17.2,0.0581,252774.04,2.84,15.97,0.0626,273429.74,3.29
VEH-04353,16.2,0.0617,274154.44,2.93,15.0,0.0667,325578.14,3.42
VEH-04354,17.6,0.0568,134768.69,2.28,16.54,0.0605,157267.15,2.43
VEH-04355,10.12,0.0988,1163039.28,4.78,9.3,0.1075,1290494.27,5.44
VEH-04356,17.6,0.0568,64826.8,1.86,16.86,0.0593,74495.46,2.0
VEH-04357,14.86,0.0673,656662.34,4.21,14.15,0.0707,760273.66,4.93
VEH-04358,14.33,0.0698,565354.89,3.81,12.93,0.0773,705578.32,4.02
VEH-04359,18.04,0.0554,139262.41,2.52,16.24,0.0616,160803.28,3.02
VEH-04360,17.34,0.0577,194042.07,2.45,16.73,0.0598,224386.14,2.61
VEH-04361,13.99,0.0715,578429.32,3.34,12.11,0.0826,694440.84,3.72
VEH-04362,13.77,0.0726,618649.1,3.66,12.49,0.0801,689667.81,4.25
VEH-04363,15.0,0.0667,319985.81,2.75,13.09,0.0764,347339.33,3.26
VEH-04364,18.13,0.0552,296702.05,2.91,17.01,0.0588,357710.4,3.14
VEH-04365,17.96,0.0557,183305.3,2.45,16.39,0.061,207781.15,2.91
VEH-04366,15.35,0.0651,406776.51,3.46,13.93,0.0718,504730.92,4.01
VEH-04367,18.17,0.055,194973.33,2.33,16.92,0.0591,219468.92,2.76
VEH-04368,17.46,0.0573,310477.51,3.1,16.23,0.0616,350592.39,3.61
VEH-04369,17.67,0.0566,152546.88,2.56,16.44,0.0608,188555.84,2.99
VEH-04370,16.05,0.0623,361487.52,3.04,14.06,0.0711,428027.66,3.46
VEH-04371,16.19,0.0618,173986.48,2.56,15.68,0.0638,200960.57,2.99
VEH-04372,18.45,0.0542,171120.38,2.59,17.14,0.0583,185305.15,3.02
VEH-04373,17.36,0.0576,253281.94,2.61,16.75,0.0597,295035.83,3.08
VEH-04374,18.06,0.0554,186393.27,2.78,16.13,0.062,203585.73,3.04
VEH-04375,16.24,0.0616,219253.69,2.55,15.6,0.0641,266879.32,2.84
VEH-04376,13.74,0.0728,544895.64,3.34,13.03,0.0767,675683.09,3.93
VEH-04377,16.92,0.0591,426229.13,3.61,15.33,0.0652,468549.33,4.28
VEH-04378,15.11,0.0662,556704.28,3.41,13.81,0.0724,659224.59,3.91
VEH-04379,14.96,0.0668,344518.51,2.41,13.9,0.0719,427681.26,2.78
VEH-04380,14.61,0.0684,630263.17,3.96,12.95,0.0772,759577.08,4.5
VEH-04381,12.81,0.0781,979076.42,4.46,12.26,0.0816,1122428.48,4.98
VEH-04382,12.91,0.0775,539797.0,3.5,12.06,0.0829,667161.22,4.14
VEH-04383,17.38,0.0575,140413.87,2.37,16.48,0.0607,163861.37,2.84
VEH-04384,14.78,0.0677,372530.36,2.87,13.09,0.0764,423537.7,3.23
VEH-04385,16.01,0.0625,388064.63,2.94,15.44,0.0648,430113.08,3.43
VEH-04386,15.48,0.0646,240828.2,2.45,14.29,0.07,263934.72,2.6
VEH-04387,18.81,0.0532,153855.79,2.5,18.1,0.0552,182466.46,2.68
VEH-04388,11.83,0.0845,792447.79,4.24,10.03,0.0997,865971.89,4.51
VEH-04389,16.33,0.0612,295956.3,2.94,14.35,0.0697,341173.63,3.49
VEH-04390,17.07,0.0586,254082.02,2.82,15.66,0.0639,302603.45,3.23
VEH-04391,16.69,0.0599,357876.21,3.09,14.8,0.0676,410754.97,3.25
VEH-04392,16.59,0.0603,211104.0,2.57,15.51,0.0645,259622.61,2.8
VEH-04393,11.21,0.0892,1014205.2,4.41,9.52,0.105,1226369.72,4.85
VEH-04394,20.0,0.05,62657.52,2.0,18.54,0.0539,75398.3,2.16
VEH-04395,16.55,0.0604,152964.03,2.51,15.3,0.0654,168829.38,2.79
VEH-04396,14.6,0.0685,318212.7,2.69,13.54,0.0739,394572.97,3.02
VEH-04397,17.57,0.0569,297601.25,2.88,16.68,0.06,325650.96,3.42
VEH-04398,18.29,0.0547,102254.11,2.36,17.67,0.0566,119287.31,2.71
VEH-04399,18.53,0.054,255257.45,2.94,16.54,0.0605,286860.36,3.39
VEH-04400,16.25,0.0615,389777.9,2.96,14.77,0.0677,457829.92,3.13
VEH-04401,15.81,0.0633,392417.94,2.95,15.27,0.0655,432622.42,3.42
VEH-04402,14.93,0.067,501553.7,3.3,13.92,0.0718,608059.12,3.85
VEH-04403,18.29,0.0547,254415.07,2.84,16.45,0.0608,307733.74,3.28
VEH-04404,15.3,0.0654,137480.69,1.77,13.7,0.073,152993.72,1.9
VEH-04405,19.0,0.0526,37702.42,1.92,18.24,0.0548,43988.85,2.02
VEH-04406,14.73,0.0679,618830.74,4.13,13.64,0.0733,716656.21,4.44
VEH-04407,13.81,0.0724,578849.39,3.54,12.81,0.0781,643460.67,3.73
VEH-04408,17.21,0.0581,315471.93,2.99,15.38,0.065,385069.58,3.56
VEH-04409,16.76,0.0597,327633.23,2.92,16.03,0.0624,398701.72,3.5
VEH-04410,17.47,0.0572,174711.49,2.3,16.68,0.06,217888.69,2.48
VEH-04411,14.23,0.0703,548592.58,3.3,13.68,0.0731,594115.96,3.9
VEH-04412,12.58,0.0795,806228.0,3.82,11.69,0.0855,893099.04,4.45
VEH-04413,18.87,0.053,160639.26,2.38,17.82,0.0561,185843.69,2.52
VEH-04414,14.52,0.0689,560817.43,3.59,12.75,0.0784,606593.28,4.27
VEH-04415,15.37,0.0651,412411.34,3.19,14.1,0.0709,464478.45,3.72
VEH-04416,17.16,0.0583,189790.94,2.8,16.33,0.0612,220570.23,3.09
VEH-04417,13.91,0.0719,541212.58,3.7,12.73,0.0786,629617.93,4.1
VEH-04418,12.53,0.0798,634842.74,3.3,10.77,0.0929,702117.3,3.94
VEH-04419,15.55,0.0643,497972.28,3.34,13.7,0.073,596796.89,4.01
VEH-04420,19.67,0.0508,210867.72,2.68,17.99,0.0556,254658.8,3.2
VEH-04421,14.94,0.0669,385237.7,3.17,13.79,0.0725,420642.0,3.5
VEH-04422,14.88,0.0672,561436.72,3.97,13.68,0.0731,629166.61,4.44
VEH-04423,13.51,0.074,547385.71,3.19,11.91,0.084,637918.42,3.39
VEH-04424,16.77,0.0596,210128.68,2.17,15.18,0.0659,242643.23,2.33
VEH-04425,16.04,0.0623,512325.77,3.72,15.39,0.065,582930.05,4.44
VEH-04426,18.55,0.0539,166228.33,2.22,16.66,0.06,184135.57,2.49
VEH-04427,16.85,0.0593,368144.69,2.92,15.52,0.0644,421159.82,3.32
VEH-04428,11.08,0.0903,873862.4,3.71,10.56,0.0947,1062401.92,4.18
VEH-04429,19.27,0.0519,179350.18,2.55,17.61,0.0568,212520.81,2.84
VEH-04430,10.63,0.0941,1030397.27,4.12,9.45,0.1058,1134517.58,4.33
VEH-04431,13.01,0.0769,676508.96,3.72,12.06,0.0829,792271.2,3.97
VEH-04432,14.31,0.0699,473368.17,3.28,13.59,0.0736,513179.66,3.48
VEH-04433,13.91,0.0719,559605.84,3.63,13.04,0.0767,631968.03,4.02
VEH-04434,15.47,0.0646,396888.12,3.14,14.15,0.0707,444151.85,3.6
VEH-04435,16.29,0.0614,260036.09,2.58,14.85,0.0673,301405.39,2.8
VEH-04436,10.63,0.0941,1445662.18,5.08,8.98,0.1114,1698539.27,5.68
VEH-04437,19.1,0.0524,150106.03,2.31,18.29,0.0547,177003.91,2.67
VEH-04438,14.88,0.0672,270057.48,2.42,13.54,0.0739,301069.72,2.61
VEH-04439,20.0,0.05,131234.34,2.36,19.08,0.0524,155502.79,2.66
VEH-04440,14.93,0.067,365451.5,2.85,14.1,0.0709,409494.08,3.32
VEH-04441,14.6,0.0685,511384.73,3.42,13.18,0.0759,608649.95,4.08
VEH-04442,17.2,0.0581,213773.8,2.6,16.66,0.06,255447.41,2.99
VEH-04443,15.68,0.0638,249302.11,2.39,13.88,0.072,301611.04,2.52
VEH-04444,16.16,0.0619,403752.59,3.12,14.34,0.0697,486669.01,3.5
VEH-04445,14.93,0.067,597427.55,3.61,14.31,0.0699,657158.17,4.15
VEH-04446,15.67,0.0638,352867.97,2.91,14.69,0.0681,423665.94,3.23
VEH-04447,15.03,0.0665,352614.48,2.76,13.79,0.0725,387735.09,3.14
VEH-04448,17.45,0.0573,240336.32,2.46,15.57,0.0642,276361.51,2.6
VEH-04449,10.1,0.099,1334829.9,5.11,8.15,0.1227,1566239.21,5.8
VEH-04450,11.89,0.0841,946891.5,4.09,10.21,0.0979,1103346.81,4.34
VEH-04451,16.63,0.0601,322250.18,3.23,16.1,0.0621,356455.41,3.83
VEH-04452,12.0,0.0833,673029.01,3.58,10.87,0.092,806221.11,3.99
VEH-04453,12.91,0.0775,766476.69,3.83,12.14,0.0824,884653.83,4.38
VEH-04454,15.13,0.0661,611530.27,3.96,13.62,0.0734,708561.14,4.22
VEH-04455,16.24,0.0616,237990.69,2.73,14.79,0.0676,276025.9,3.09
VEH-04456,17.48,0.0572,254921.78,2.41,15.81,0.0633,313669.79,2.65
VEH-04457,14.35,0.0697,539908.95,3.2,12.72,0.0786,652305.97,3.6
VEH-04458,16.55,0.0604,251474.08,2.94,15.9,0.0629,310327.24,3.24
VEH-04459,14.52,0.0689,566924.68,3.53,12.8,0.0781,637628.34,3.8
VEH-04460,12.51,0.0799,770310.61,4.21,11.7,0.0855,887140.6,4.51
VEH-04461,17.68,0.0566,159357.94,2.02,16.27,0.0615,196655.0,2.12
VEH-04462,16.34,0.0612,361505.82,2.78,14.37,0.0696,411381.87,3.04
VEH-04463,15.17,0.0659,503243.98,3.47,13.71,0.0729,558150.1,3.86
VEH-04464,11.38,0.0879,994773.12,4.43,10.38,0.0963,1232291.39,5.25
VEH-04465,18.22,0.0549,144887.42,2.44,16.96,0.059,180871.06,2.81
VEH-04466,17.7,0.0565,181487.49,2.35,16.95,0.059,222366.63,2.6
VEH-04467,11.82,0.0846,915516.46,4.48,10.17,0.0983,1130804.93,5.29
VEH-04468,14.76,0.0678,637611.64,3.83,13.64,0.0733,715428.52,4.19
VEH-04469,19.06,0.0525,23796.68,1.91,18.25,0.0548,27065.81,2.04
VEH-04470,14.08,0.071,552491.07,3.68,12.43,0.0805,601371.4,4.17
VEH-04471,20.0,0.05,91140.32,2.08,18.79,0.0532,105059.27,2.45
VEH-04472,17.65,0.0567,102242.63,1.94,16.44,0.0608,119441.17,2.23
VEH-04473,17.14,0.0583,280192.03,2.71,16.02,0.0624,349536.04,2.9
VEH-04474,10.4,0.0962,1398288.24,5.28,9.76,0.1025,1669135.0,5.71
VEH-04475,18.02,0.0555,367785.76,3.06,16.59,0.0603,406667.8,3.54
VEH-04476,17.62,0.0568,171271.16,2.22,16.33,0.0612,200731.1,2.44
VEH-04477,16.55,0.0604,447469.14,3.35,15.03,0.0665,545240.22,3.73
VEH-04478,15.52,0.0644,257569.36,2.52,14.41,0.0694,314279.11,2.7
VEH-04479,14.89,0.0672,553245.06,3.89,14.13,0.0708,666581.21,4.11
VEH-04480,17.28,0.0579,118771.67,2.06,16.55,0.0604,144780.37,2.39
VEH-04481,16.11,0.0621,361563.69,3.11,15.07,0.0664,396560.06,3.28
VEH-04482,18.26,0.0548,140996.82,2.28,17.65,0.0567,160108.51,2.54
VEH-04483,16.84,0.0594,218233.99,2.64,16.28,0.0614,245900.25,2.94
VEH-04484,15.34,0.0652,394968.49,3.36,13.43,0.0745,442064.1,3.8
VEH-04485,16.6,0.0602,177011.45,2.37,15.69,0.0637,214138.6,2.54
VEH-04486,11.45,0.0873,947666.83,4.1,10.65,0.0939,1069921.48,4.38
VEH-04487,12.28,0.0814,747383.43,3.74,11.12,0.0899,821710.66,4.46
VEH-04488,14.38,0.0695,486956.77,3.33,13.88,0.072,586086.94,3.71
VEH-04489,11.72,0.0853,1004566.85,4.4,10.65,0.0939,1193655.21,5.04
VEH-04490,14.7,0.068,392832.04,3.35,13.34,0.075,439971.87,3.86
VEH-04491,17.0,0.0588,279244.49,2.59,15.05,0.0664,333970.68,2.99
VEH-04492,15.02,0.0666,409133.03,2.8,13.07,0.0765,464422.21,3.16
VEH-04493,17.24,0.058,298794.87,3.07,16.72,0.0598,326930.39,3.55
VEH-04494,14.92,0.067,440611.74,3.32,14.12,0.0708,522939.21,3.88
VEH-04495,13.95,0.0717,516115.77,3.45,12.87,0.0777,584717.02,3.87
VEH-04496,15.61,0.0641,273747.32,2.9,14.63,0.0684,334818.92,3.14
VEH-04497,18.24,0.0548,190492.6,2.5,17.2,0.0581,213342.87,2.76
VEH-04498,15.11,0.0662,357405.38,3.33,13.47,0.0742,414578.54,3.63
VEH-04499,14.29,0.07,377714.3,2.79,13.56,0.0737,413590.56,3.24
VEH-04500,11.58,0.0864,895678.55,4.13,9.76,0.1025,991547.12,4.66
VEH-04501,9.48,0.1055,1265744.65,4.3,7.56,0.1323,1579351.88,4.83
VEH-04502,16.47,0.0607,362329.58,3.28,14.96,0.0668,435330.24,3.48
VEH-04503,15.56,0.0643,357331.2,2.79,14.75,0.0678,429153.88,3.15
VEH-04504,16.0,0.0625,380554.2,3.21,14.53,0.0688,422222.97,3.82
VEH-04505,18.52,0.054,153780.51,2.18,17.15,0.0583,190027.69,2.56
VEH-04506,14.61,0.0684,540878.17,3.55,14.03,0.0713,603326.26,4.18
VEH-04507,17.15,0.0583,274624.25,2.64,15.72,0.0636,324411.75,2.95
VEH-04508,15.37,0.0651,549370.65,3.77,13.68,0.0731,628280.12,3.98
VEH-04509,15.54,0.0644,442848.17,3.43,14.52,0.0689,513784.37,3.9
VEH-04510,12.82,0.078,826573.56,4.17,11.19,0.0894,902420.49,4.63
VEH-04511,19.15,0.0522,172680.96,2.49,17.84,0.0561,211245.55,2.81
VEH-04512,17.71,0.0565,255751.51,2.75,15.86,0.0631,277716.03,2.97
VEH-04513,15.12,0.0661,322517.16,2.94,13.15,0.076,354075.2,3.47
VEH-04514,15.01,0.0666,424199.16,2.99,14.32,0.0698,488372.28,3.55
VEH-04515,14.26,0.0701,390983.54,2.8,13.1,0.0763,483017.54,3.34
VEH-04516,13.8,0.0725,432799.37,3.14,12.08,0.0828,512850.23,3.65
VEH-04517,19.25,0.0519,184733.95,2.59,17.45,0.0573,206006.78,3.03
VEH-04518,12.5,0.08,651208.46,3.5,11.23,0.089,721430.16,4.03
VEH-04519,11.82,0.0846,985527.52,4.2,10.67,0.0937,1105964.0,4.91
VEH-04520,16.71,0.0598,371364.03,3.41,15.55,0.0643,436905.05,3.66
VEH-04521,15.2,0.0658,482898.65,3.43,14.69,0.0681,564142.5,4.1
VEH-04522,19.38,0.0516,220033.99,2.81,18.49,0.0541,272310.19,3.19
VEH-04523,18.7,0.0535,45560.11,2.08,17.52,0.0571,56520.89,2.29
VEH-04524,15.68,0.0638,278073.26,2.71,14.72,0.0679,322071.66,2.98
VEH-04525,17.83,0.0561,176579.67,2.39,16.17,0.0618,216654.21,2.79
VEH-04526,14.18,0.0705,363856.72,3.27,12.37,0.0808,415280.72,3.48
VEH-04527,12.81,0.0781,832162.45,4.16,11.94,0.0838,920827.15,4.82
VEH-04528,14.79,0.0676,419564.56,3.1,12.87,0.0777,521271.24,3.43
VEH-04529,17.62,0.0568,312636.81,3.01,16.0,0.0625,343911.51,3.17
VEH-04530,17.77,0.0563,139185.89,2.01,16.68,0.06,155105.77,2.25
VEH-04531,14.88,0.0672,512507.32,3.66,13.23,0.0756,615141.47,4.29
VEH-04532,14.25,0.0702,394632.3,3.27,13.19,0.0758,469262.22,3.82
VEH-04533,14.92,0.067,318954.76,3.27,13.96,0.0716,364913.39,3.58
VEH-04534,12.18,0.0821,906696.12,4.16,10.4,0.0962,1115946.16,4.84
VEH-04535,15.07,0.0664,493954.61,3.26,14.54,0.0688,583717.11,3.54
VEH-04536,16.28,0.0614,344743.35,3.08,15.7,0.0637,417355.06,3.3
VEH-04537,14.46,0.0692,722009.8,4.13,13.3,0.0752,796214.0,4.39
VEH-04538,14.17,0.0706,627467.91,3.68,12.87,0.0777,718526.41,4.14
VEH-04539,11.91,0.084,774258.2,3.62,10.48,0.0954,869365.78,4.18
VEH-04540,15.36,0.0651,448684.99,3.21,14.58,0.0686,555281.78,3.62
VEH-04541,16.18,0.0618,315892.79,3.05,15.03,0.0665,371759.5,3.3
VEH-04542,11.55,0.0866,1000657.4,4.01,10.26,0.0975,1223635.89,4.45
VEH-04543,17.35,0.0576,216003.66,2.71,15.88,0.063,234309.63,2.88
VEH-04544,13.8,0.0725,634074.05,3.65,12.98,0.077,767502.5,3.92
VEH-04545,15.59,0.0641,327565.11,2.95,14.26,0.0701,371276.89,3.26
VEH-04546,17.72,0.0564,231709.51,2.44,17.04,0.0587,252802.91,2.88
VEH-04547,15.15,0.066,430556.23,3.3,13.43,0.0745,474415.92,3.89
VEH-04548,20.0,0.05,134232.8,2.09,19.14,0.0522,152315.34,2.28
VEH-04549,15.41,0.0649,356926.86,2.76,13.47,0.0742,392682.44,3.18
VEH-04550,18.82,0.0531,228137.17,2.27,17.05,0.0587,248970.23,2.45
VEH-04551,15.86,0.0631,323586.91,3.24,14.81,0.0675,355882.89,3.49
VEH-04552,18.4,0.0543,233994.32,2.74,16.53,0.0605,287560.92,3.23
VEH-04553,13.15,0.076,799784.48,4.16,12.09,0.0827,915369.63,4.92
VEH-04554,17.18,0.0582,154105.78,2.46,16.32,0.0613,177741.28,2.72
VEH-04555,17.65,0.0567,231997.52,2.37,15.97,0.0626,269867.19,2.62
VEH-04556,12.95,0.0772,567084.68,3.61,11.31,0.0884,687904.54,4.07
VEH-04557,17.34,0.0577,200369.09,2.6,16.4,0.061,224376.88,2.96
VEH-04558,15.59,0.0641,312632.18,2.62,15.08,0.0663,373587.33,3.09
VEH-04559,17.52,0.0571,132896.65,2.63,15.84,0.0631,163422.45,2.83
VEH-04560,14.72,0.0679,449576.66,3.33,13.15,0.076,557736.3,3.55
VEH-04561,14.87,0.0672,518322.91,3.32,13.87,0.0721,621012.53,3.89
VEH-04562,14.24,0.0702,559638.13,3.8,12.35,0.081,698411.78,4.32
VEH-04563,14.07,0.0711,671915.81,3.84,12.62,0.0792,827592.81,4.07
VEH-04564,14.71,0.068,482678.04,3.21,12.88,0.0776,575992.99,3.77
VEH-04565,17.53,0.057,72217.27,2.06,15.93,0.0628,89102.41,2.2
VEH-04566,17.87,0.056,112216.63,2.36,16.44,0.0608,135569.9,2.66
VEH-04567,17.65,0.0567,191473.05,2.47,15.8,0.0633,223803.78,2.95
VEH-04568,15.65,0.0639,311855.29,2.76,14.24,0.0702,362969.22,3.03
VEH-04569,18.38,0.0544,180536.84,2.4,17.62,0.0568,225020.32,2.78
VEH-04570,10.19,0.0981,1238244.93,4.95,8.4,0.119,1487559.43,5.2
VEH-04571,15.13,0.0661,375370.44,2.87,13.35,0.0749,420900.53,3.44
VEH-04572,17.37,0.0576,181699.64,2.15,16.18,0.0618,217858.23,2.48
VEH-04573,12.22,0.0818,984153.09,4.74,11.7,0.0855,1067285.88,5.59
VEH-04574,14.36,0.0696,472593.53,2.73,12.8,0.0781,530684.65,3.12
VEH-04575,11.44,0.0874,904408.55,4.27,10.9,0.0917,1115150.4,4.96
VEH-04576,17.75,0.0563,303290.91,3.04,16.06,0.0623,364088.74,3.44
VEH-04577,17.2,0.0581,255302.83,2.77,16.02,0.0624,317964.05,3.02
VEH-04578,15.37,0.0651,334520.72,3.02,13.67,0.0732,405397.64,3.26
VEH-04579,14.89,0.0672,782891.99,4.29,14.01,0.0714,911778.6,4.65
VEH-04580,16.23,0.0616,360636.58,3.13,15.11,0.0662,409106.35,3.47
VEH-04581,14.21,0.0704,483620.6,3.39,13.22,0.0756,542712.37,3.78
VEH-04582,18.1,0.0552,146683.79,2.5,16.97,0.0589,172629.93,2.77
VEH-04583,13.55,0.0738,635147.53,3.5,12.43,0.0805,709426.1,3.74
VEH-04584,14.35,0.0697,578201.5,3.42,12.72,0.0786,674465.01,4.05
VEH-04585,17.19,0.0582,247800.16,2.44,15.26,0.0655,296296.1,2.86
VEH-04586,15.72,0.0636,228974.6,2.42,14.11,0.0709,281420.61,2.68
VEH-04587,16.78,0.0596,189970.93,2.34,15.39,0.065,233642.08,2.59
VEH-04588,17.06,0.0586,220783.63,2.47,15.92,0.0628,241812.6,2.87
VEH-04589,13.06,0.0766,547792.47,3.54,11.07,0.0903,654336.64,4.21
VEH-04590,20.0,0.05,174855.85,2.89,19.31,0.0518,200993.02,3.41
VEH-04591,16.65,0.0601,428174.27,3.08,15.17,0.0659,468871.6,3.58
VEH-04592,15.99,0.0625,260722.18,2.32,15.09,0.0663,310175.67,2.52
VEH-04593,16.03,0.0624,374193.75,3.27,14.43,0.0693,411184.74,3.53
VEH-04594,16.7,0.0599,161636.03,2.35,15.78,0.0634,182845.92,2.68
VEH-04595,13.19,0.0758,715394.91,3.8,12.43,0.0805,830308.31,4.44
VEH-04596,17.87,0.056,292698.46,2.6,16.44,0.0608,324326.42,2.99
VEH-04597,15.5,0.0645,365752.36,3.01,13.63,0.0734,415760.43,3.24
VEH-04598,15.99,0.0625,480974.9,3.65,14.87,0.0672,543168.9,4.2
VEH-04599,15.97,0.0626,466192.39,3.25,14.84,0.0674,553324.26,3.52
VEH-04600,15.15,0.066,405787.55,3.19,13.68,0.0731,446422.08,3.79
VEH-04601,17.81,0.0561,252205.17,2.76,16.25,0.0615,314371.11,3.29
VEH-04602,17.2,0.0581,220822.16,2.52,16.33,0.0612,238806.24,2.68
VEH-04603,17.56,0.0569,116836.4,2.33,15.97,0.0626,140907.63,2.64
VEH-04604,12.91,0.0775,742949.84,3.87,11.69,0.0855,804099.59,4.4
VEH-04605,19.34,0.0517,23450.15,1.93,17.45,0.0573,26310.21,2.14
VEH-04606,17.53,0.057,147365.06,2.27,16.48,0.0607,169621.45,2.62
VEH-04607,17.63,0.0567,48327.72,2.22,16.57,0.0604,55436.94,2.49
VEH-04608,18.59,0.0538,119389.82,2.21,16.61,0.0602,135156.34,2.58
VEH-04609,18.49,0.0541,241770.64,2.58,16.75,0.0597,291679.32,2.91
VEH-04610,13.91,0.0719,692417.39,4.03,13.34,0.075,850962.35,4.51
VEH-04611,10.2,0.098,965194.62,4.16,9.06,0.1104,1128497.29,4.86
VEH-04612,14.59,0.0685,562060.79,3.4,12.77,0.0783,665031.52,3.7
VEH-04613,17.15,0.0583,209739.08,2.73,15.35,0.0651,240385.56,3.03
VEH-04614,15.1,0.0662,425515.78,3.33,13.85,0.0722,491083.68,3.61
VEH-04615,19.02,0.0526,182877.96,2.29,17.17,0.0582,224862.74,2.7
VEH-04616,17.48,0.0572,148333.97,2.18,16.71,0.0598,167141.56,2.38
VEH-04617,17.71,0.0565,197990.94,2.24,16.08,0.0622,216945.65,2.47
VEH-04618,12.06,0.0829,830547.3,4.05,10.66,0.0938,954315.12,4.36
VEH-04619,14.92,0.067,519132.03,3.35,13.77,0.0726,593492.14,3.73
VEH-04620,14.93,0.067,454512.42,3.28,14.38,0.0695,556455.32,3.91
VEH-04621,15.17,0.0659,386135.57,3.05,14.56,0.0687,434612.28,3.56
VEH-04622,18.14,0.0551,203889.16,2.21,16.99,0.0589,230984.3,2.47
VEH-04623,10.49,0.0953,1208804.69,4.61,9.6,0.1042,1380049.14,4.93
VEH-04624,14.23,0.0703,354765.42,2.85,12.46,0.0803,389075.77,3.01
VEH-04625,13.91,0.0719,528224.97,3.56,12.38,0.0808,579784.4,4.18
VEH-04626,17.54,0.057,227600.35,2.26,15.56,0.0643,276296.54,2.68
VEH-04627,11.23,0.089,954112.05,4.36,9.37,0.1067,1083017.34,4.83
VEH-04628,14.5,0.069,467300.68,3.16,12.98,0.077,571965.98,3.72
VEH-04629,10.03,0.0997,1180818.56,4.28,9.1,0.1099,1299083.73,4.88
